FIPS	year	state	state2	county	income	population	LND010200D	region	totalvotes	candidate.democrat	candidate.republican	candidatevotes.democrat	candidatevotes.republican
13225	2008	Georgia	GA	Peach	28327	27222	151.46	south	11165	Barack Obama	John McCain	5927	5173
13225	2012	Georgia	GA	Peach	30595	27765	151.46	south	11516	Barack Obama	Mitt Romney	6148	5287
13225	2016	Georgia	GA	Peach	35943	26885	151.46	south	10752	Hillary Clinton	Donald Trump	5100	5413
13225	2020	Georgia	GA	Peach County	NA	NA	151.46	south	12553	Joshep Biden	Donald Trump	5922	6506
13227	2000	Georgia	GA	Pickens	26744	23412	232.78	south	8201	Al Gore	George W. Bush	2489	5488
13227	2004	Georgia	GA	Pickens	31173	26810	232.78	south	10627	John Kerry	George W. Bush	2444	8115
13227	2008	Georgia	GA	Pickens	35008	29531	232.78	south	12786	Barack Obama	John McCain	2595	10004
13227	2012	Georgia	GA	Pickens	37747	29260	232.78	south	12680	Barack Obama	Mitt Romney	1975	10547
13227	2016	Georgia	GA	Pickens	44707	30652	232.78	south	14038	Hillary Clinton	Donald Trump	1979	11651
13227	2020	Georgia	GA	Pickens County	NA	NA	232.78	south	17167	Joshep Biden	Donald Trump	2824	14110
13229	2000	Georgia	GA	Pierce	20963	15702	343.9	south	4681	Al Gore	George W. Bush	1300	3348
13229	2004	Georgia	GA	Pierce	23091	16755	343.9	south	5923	John Kerry	George W. Bush	1234	4680
13229	2008	Georgia	GA	Pierce	27218	18210	343.9	south	6791	Barack Obama	John McCain	1253	5500
13229	2012	Georgia	GA	Pierce	29382	18905	343.9	south	6846	Barack Obama	Mitt Romney	1124	5667
13229	2016	Georgia	GA	Pierce	33888	19104	343.9	south	7311	Hillary Clinton	Donald Trump	903	6302
13229	2020	Georgia	GA	Pierce County	NA	NA	343.9	south	9047	Joshep Biden	Donald Trump	1100	7898
13231	2000	Georgia	GA	Pike	23319	13571	219.43	south	4885	Al Gore	George W. Bush	1413	3358
13231	2004	Georgia	GA	Pike	25543	15474	219.43	south	6741	John Kerry	George W. Bush	1506	5193
13231	2008	Georgia	GA	Pike	29622	17619	219.43	south	8203	Barack Obama	John McCain	1575	6547
13231	2012	Georgia	GA	Pike	31472	17770	219.43	south	8109	Barack Obama	Mitt Romney	1356	6668
13231	2016	Georgia	GA	Pike	37700	17897	219.43	south	8725	Hillary Clinton	Donald Trump	1240	7278
13231	2020	Georgia	GA	Pike County	NA	NA	219.43	south	10720	Joshep Biden	Donald Trump	1505	9127
